refind,label,description,class,notes
∅,,,,
1001,Harûnê Rešît,Harun Resit,hum,
1002,kurekî wî,son of Harun Resit,hum,
1003,ewê,those who draw on the knowledge of astrology,hum,
1004,stêrka,stars,inm,
1006,cînarê te,neighbor,hum,
1007,jinekî,daughter neighbor will have,hum,
1008,nod û neha heba,ninety-nine men that 1007 will sleep with,hum,
1009,qederê,destiny of 1002,abs,
1010,zêrê wî,gold of 1002,inm,
1011,merifa,men of 1002,hum,
1012,xanîye xwe,house of 1002,loc,
1013,malê,houses around 1012,loc,
1014,hefta,a week / seven days that it will take a neighbor of 1002 to get pregnant,tme,
1015,yekê wî,one of 1011,hum,
1016,me,1011 and 1002,hum,
1017,dê,mother 1002 believes to be 1006,hum,
1018,bavê,husband of 1017,hum,
1019,wê,daughter 1002 believes to be 1007,hum,
1020,hun,1017 and 1018,hum,
1021,zêr,weight of daughter in gold,inm,
1022,sandiqekî,a box of iron,inm,
1023,Kêra xwe,knife of 1002,inm,
1024,qirika kecikê,throat of 1019,bdp,
1025,merifekî,a man without children,hum,
1026,masîyan,fish that 1025 catches,anm,
1027,jinik,wife of 1025,hum,
1028,tora xwe,net of 1025,inm,
1029,hespê,horse of 1025,anm,
1030,ereba xwe,cart for 1029,inm,
1031,malê,home of 1025,loc,
1032,derî,door of 1031,loc,
1033,xwedê,God,abs,
1034,em,1025 and 1027,hum,
1035,kakûça,hammers of 1034,inm,
1036,kilît,locks of 1022,inm,
1037,hekîma,doctors 1034 call,hum,
1038,çavê,eyes of 1019,bdp,
1039,gundî,villagers of 1019 and 1034,hum,
1040,gundê,village of 1039 and 1019 and 1034,loc,
1041,gencê,youths of 1040,hum,
1042,min,(narrator of story),hum,not part of story
1043,adekî,island below 1040,loc,
1044,ormanekî,forest of 1043,loc,
1045,hevalê,friends of 1019,hum,
1046,došekê,bedding for 1019,inm,
1047,balîfê,cushions for 1019,inm,
1048,xwarinê,food for 1019,inm,
1049,ZERO,1046 + 1047 + 1048,inm,
1050,çîkî,kind of home for 1019 in forest of island,loc,
1051,yataxekî,1046 + 1047,inm,
1052,bendekî,belt of 1019,inm,
1053,girêkekî,notch in 1052,inm,
1054,merifa,99 men she has slept with (see also 1008),hum,
1055,šehrekî,town 1019 comes through,loc,
1056,soqaqekî,a street of 1055,loc,
1057,çaršûye,market of 1055,loc,
1058,pîrekî,old woman,hum,
1059,odekî,room for 1019 from 1058,loc,
1060,me,1058 + 1019,hum,
1061,malê,home of 1060,loc,
1062,odekî,room of 1061,loc,
1063,derî,door of 1062,inm,
1064,rûyê,beard of 1002,bdp,
1065,hevalê,friends of 1002,hum,
1066,em,1002 + 1065,hum,
1067,Stembolê,Istanbul,loc,
1068,dinyê,the world,inm,
1069,qîza,girl 1002 wants to meet on the world tour,hum,
1070,Müzê,museum of 1055,loc,
1071,antîqê,historical sites of 1055,loc,
1072,loqantê,restaurant 1066 eat in,loc,
1073,soqaqa,street of 1061,inm,
1074,xesîra,sleeping mat of 1058,inm,
1075,te,(listener),hum,not part of story
1076,zêra,ten pieces of gold from 1002 to 1058,inm,
1077,hevalek,one of 1066,hum,
1078,em,1002 + 1019,hum,
1079,šehrê,city of Basra,loc,
1080,oda,room of 1078,loc,
1081,çekê,clothes of 1019,inm,
1082,lawan,sons of 1002 + 1019,hum,
1083,pirabokê,witch that chooses hour of death of 1019,anm,
1084,hostan,craftsmen,hum,
1085,mîmaran,architects,hum,
1086,mihendizan,engineers,hum,
1087,hun,1084 + 1085 + 1086,hum,
1088,koškekî,castle,loc,
1089,derîyan,doors of 1088,inm,
1090,qulê,keyhole of 1088,inm,
1091,dîwar,wall of 1088,inm,
1092,kîlît,key of 1089,inm,
1093,Koškekî,actually built palace (see also 1088),loc,
1094,derê,doors of 1093,inm,
1095,law,two sons of 1019 +  1002,hum,
1096,nigê,feet of 1019,bdp,
1097,jêlî,needle of 1083,inm,
1098,mezal,grave,inm,
1099,mezal,graveyard,loc,
1100,bot,boats,inm,
1101,nav,name of son,abs,
1102,emr,age of Mihemed,abs,
1103,ilm,knowledge of astronomy,abs,
1104,malê,neighbor's house,loc,
1105,çax,age of marriage,abs,
1106,helal,religious ceremony,abs,
1107,der,place where daughter is born,loc,
1108,mov,slice of skin,bdp,
1109,xwedê,God,abs,
1110,bela,misfortune,abs,
1111,derd,trouble of the cut up girl,abs,
1112,deniz,sea,loc,
1113,qet,pieces of the girl,bdp,
1114,xirab,bad habits,abs,
1115,heq,reward for sleeping with a man,abs,
1116,çî,the mountains,loc,
1117,dev,coast,loc,
1118,mesref,costs for girl,abs,
1119,nan,food for 1019,inm,
1120,nan,midday meal,inm,
1121,qayîk,boats,inm,
1122,kîbîr,arrogance,abs,
1123,zêr,eight gold pieces,inm,
1124,zer,two gold pieces,inm,
1125,çav,eyes of 1066,bdp,
1126,zer,gold for girl,inm,
1127,ro,forty days,tme,
1128,mahra,marriage ceremony,abs,
1129,ecel,hour of death,abs,
1130,emir,orders,abs,
1131,av,water,inm,
1132,kanî,well,inm,
1133,erd,floor of the palace,inm,
1134,salon,living room,loc,
1135,derî,door of 1088,inm,
1136,derî,door of 1088,inm,
1137,desmej,ritual ablutions,abs,
1138,fal,fortunes told by the fortune tellers,abs,
1139,remil,dices to tell fortune,inm,
1140,qeder,destinies of people,abs,
1141,insan,people,hum,
1142,sebeb,cause for 1002 not being married,abs,
1143,peya,watchman,hum,
1144,fal,prediction by fortune tellers about marriage of 1002,abs,
1145,xatir,satisfaction of 1002,abs,
1146,tesir,influence of 1002,abs,
1147,ci,distant place,loc,
1148,kar,work,abs,
1149,idar,livelihood,abs,
1150,masi,fish,anm,
1151,deng,sound of the hooves of the horses,abs,
1152,nig,horses' hooves,bdp,
3001,šahê,king of the fairies,hum,
3002,qîzekî,"daughter of the king, dove",hum,
3003,melekî,mullah,hum,
3004,destê,hand of mullah,bdp,
3005,nigê,leg of the dove,bdp,
3006,adekî,island,loc,
3007,pêya,foot of the Mullah,bdp,
3008,serî,head of th Mullah,bdp,
3009,çav-mave,eye of the mullah,bdp,
3010,gûl,roses,inm,
3011,sosin,lilies,inm,
3012,çiçek,flowers,inm,
3013,dar,trees,inm,
3014,koškekî,palace,loc,
3015,derî,door of the palace,inm,
3016,cemaatekî,assembly in palace,abs,
3017,merivekî,man wearing imam's robe in assembly,hum,
3018,cubbekî,robe of imam,inm,
3019,pêçekî,white turban of imam,inm,
3020,serî,head of imam,bdp,
3021,minarê,minaret,loc,
3022,me,king and his daughter,hum,
3023,şertekî,condition of king for marrying daughter,abs,
3024,we,mullah and daughter of king,hum,
3025,royê,fourty days,tme,
3026,cîkî,bed that mullah and daughter sleep in,inm,
3027,bedewîya,beauty of daughter of the king,abs,
3028,zeynet,jewels of daughter,inm,
3029,xemilandina,decoration of daughter,inm,
3030,oda,room of daughter,inm,
3031,teklifa,suggestion,abs,
3032,cîyê,place where mullah descended,loc,
3033,wezîrê,viziers of the king,hum,
3034,çarşuyê,market,loc,
3035,merifan,three important men the viziers bring to the king,hum,
3036,paşa,"pasha, king",hum,
3037,merîfekî,blacksmith,hum,
3038,demir,iron of blacksmith,inm,
3039,haceta,tools that blacksmith makes,inm,
3040,kakuçê,hammer of blacksmith,inm,
3041,dikkana,shop of blacksmith,loc,
3042,xwelî,pile of ash in blacksmith's shop,mss,
3043,xembêza,breast of blacksmith,bdp,
3044,zêrê,gold of blacksmith,mss,
3045,desta,hands of blacksmith,bdp,
3046,merîfekî,blind man,hum,
3047,çavan,eyes of blind man,bdp,
3048,destê,hands of the blind man,bdp,
3049,parsê,alms,mss,
3050,zêrekî,piece of gold for blind man,inm,
3051,min,(story teller),hum,not part of story
3052,we,(listeners of story),hum,not part of story
3053,mesela,(story of the king of the fairies and his daughter),abs,not part of story
3054,zêr,gold of daughter of the king of fairies,mss,
3056,emaretê,emaret of daughter of the king of fairies,loc,
3057,acîya,pain of not reaching the dove,abs,
3058,wî,fact of not reaching the dove,abs,
3059,zikê,stomach of mullah,bdp,
3062,zarokê,children of the blacksmith,hum,
3063,nanê,bread for blacksmith,inm,
3065,mirîşkekî,chicken that blacksmith bought,anm,
3066,agirê,fire in shop of blacksmith,inm,
3067,komirê,coals in fire,inm,
3068,nanê,meal he made,inm,
3069,pişîkekî,cat,anm,
3070,hêteki,leg of the chicken,bdp,
3071,baskekî,wing of the chicken,bdp,
3072,sêrbaze,sorcery,abs,
3073,miselletê,problem,abs,
3074,serê,head of blacksmith,bdp,
3075,hestîyê,bone of the chicken,bdp,
3077,canê,spirit of blacksmith,abs,
3078,bavê,"father of blind man, merchant",hum,
3079,varîdata,yearly income of father,abs,
3080,tan,fence of the neighbors,inm,
3081,niçê,negative reply of neighbors,abs,
3082,cînara,neighbors,hum,
3083,mala,house of blind man's father,loc,
3084,şûrekî,sword of father of blind man,inm,
3085,dayê,mother of blind man,hum,
3086,devê,edge of the sword,inm,
3087,çîyê,mountains,loc,
3088,serê,side of the road,loc,
3089,rê,road,inm,
3090,merifekî,a merchant,hum,
3091,devekî,camel of the merchant,anm,
3092,heqîbekî,saddle bag,inm,
3093,milê,shoulder of the merchant,bdp,
3094,esker,"army, police",hum,
3095,serê çîyê,top of the mountain,loc,
3096,mala,house of the merchant,loc,
3097,zêra,gold in the saddle bag,mss,
3098,zarokên,children of the blind man,hum,
3099,heqîbekî,another bag of gold,inm,
3100,devekî,another camel,anm,
3101,heqîb,two bags of gold,inm,
3102,deveyên,two camels,anm,
3103,heqîb,seven bags of gold,inm,
3104,deva,seven camels,anm,
3105,çoluk-çocuxê,children and family of the merchant,hum,
3106,destê,hands of the merchant,bdp,
3107,hedîyekî,present of merchant,inm,
3108,cêba,pocket of merchant,inm,
3109,çîyayê,another mountain,loc,
3110,mêş,flies on mountain,anm,
3111,mar,snake,anm,
3112,cavê,another eye of blind man,bdp,
3113,perîya,fairies,hum,
3114,însana,,hum,
3115,qîzê,daughters of fairies,hum,
